ID;R;PD;PE;FD;ProtectedStatus;Clima;Ecorregion;PP_MM;TMED;logitude;latitude;CodRegion
22573;13;3.731403631;0.007978522;1.541774695;0;Temperate;Valdivian_forests;2100;9.5;-72.829986;-39.632546;14
22574;11;3.153316581;0.006311701;1.52972428;0;Temperate;Valdivian_forests;2100;9.5;-72.829986;-39.882546;14
22575;11;3.153316581;0.006311701;1.52972428;0;Temperate;Valdivian_forests;2100;9.5;-72.829986;-40.132546;14
22576;11;3.577639001;0.005787774;1.559955171;0;Temperate;Valdivian_forests;2100;9.5;-72.829986;-40.382546;10
22577;10;3.142249141;0.004591704;1.501562905;0;Temperate;Valdivian_forests;2100;9.5;-72.829986;-40.632546;10
22578;10;3.142249141;0.004591704;1.501562905;0;Temperate;Valdivian_forests;2100;9;-72.829986;-40.882546;10
22579;9;2.988519511;0.004173058;1.590432738;0;Temperate;Valdivian_forests;2100;9;-72.829986;-41.132546;10
22580;9;2.988519511;0.004173058;1.590432738;0;Temperate;Valdivian_forests;2100;9;-72.829986;-41.382546;10
22581;9;2.988519511;0.004173058;1.590432738;0;Temperate;Valdivian_forests;2100;9;-72.829986;-41.632546;10
22582;9;2.988519511;0.004173058;1.590432738;0;Temperate;Valdivian_forests;2100;9;-72.829986;-41.882546;10
22583;9;2.988519511;0.004173058;1.590432738;0;Temperate;Valdivian_forests;2100;9;-72.829986;-42.132546;10
22584;8;2.897977211;0.003661705;1.634404553;0;Temperate;Valdivian_forests;2100;9;-72.829986;-42.382546;10
22585;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.829986;-42.632546;10
22586;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.829986;-42.882546;10
22587;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.829986;-43.132546;10
22588;7;2.837095241;0.003573598;1.740768184;1;Temperate;Valdivian_forests;2100;9;-72.829986;-43.382546;10
22589;7;2.837095241;0.003573598;1.740768184;1;Temperate;Valdivian_forests;2100;9;-72.829986;-43.632546;11
22590;7;2.837095241;0.003573598;1.740768184;1;Temperate;Valdivian_forests;2100;9;-72.829986;-43.882546;11
22591;8;2.897977211;0.003661705;1.634404553;0;Temperate;Valdivian_forests;2100;9;-72.829986;-44.132546;11
22592;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.829986;-44.382546;11
22593;5;2.331748821;0.002703482;1.568214228;1;Temperate;Valdivian_forests;2100;9;-72.829986;-44.632546;11
22594;6;2.392630791;0.002791589;1.498175157;1;Temperate;Valdivian_forests;2100;9;-72.829986;-44.882546;11
22595;6;2.392630791;0.002791589;1.498175157;0;Temperate;Valdivian_forests;2100;9;-72.829986;-45.132546;11
22596;6;2.392630791;0.002791589;1.498175157;0;Temperate;Valdivian_forests;2100;9;-72.829986;-45.382546;11
22597;6;2.392630791;0.002791589;1.498175157;0;Temperate;Valdivian_forests;2100;9;-72.829986;-45.632546;11
22598;6;2.392630791;0.002791589;1.498175157;0;Temperate;Patagonian_Steppe;2100;9;-72.829986;-45.882546;11
22599;7;2.720581071;0.003287988;1.687375183;0;Temperate;Patagonian_Steppe;2100;9;-72.829986;-46.132546;11
22600;7;2.838232781;0.005389836;1.501723271;0;Temperate;Patagonian_Steppe;2100;9;-72.829986;-46.382546;11
22601;7;2.741494341;0.005884374;1.495824592;1;Temperate;Valdivian_forests;2100;9;-72.829986;-46.632546;11
22602;8;3.069444621;0.006380773;1.712036891;1;Temperate;Magellanic_forests;2100;9;-72.829986;-46.882546;11
22603;8;3.069444621;0.006380773;1.712036891;1;Temperate;Patagonian_Steppe;2100;9;-72.829986;-47.132546;11
22604;9;3.380274174;0.007673572;1.727853174;1;Temperate;Patagonian_Steppe;2100;9;-72.829986;-47.382546;11
22605;10;3.402921894;0.007765264;1.640537083;0;Temperate;Magellanic_forests;2100;9;-72.829986;-47.632546;11
22606;10;3.402921894;0.007765264;1.640537083;0;Temperate;Magellanic_forests;2100;9;-72.829986;-47.882546;11
22607;11;3.882513694;0.010175273;1.558302943;0;Temperate;Magellanic_forests;2100;9;-72.829986;-48.132546;11
22608;12;4.059909834;0.010548989;1.538614171;1;Temperate;Magellanic_forests;2100;9;-72.829986;-48.382546;11
22609;13;4.292084124;0.01102199;1.511757568;1;Temperate;Magellanic_forests;2100;9;-72.829986;-48.632546;11
22610;13;4.292084124;0.01102199;1.511757568;1;Temperate;Magellanic_forests;2100;9;-72.829986;-48.882546;11
22617;14;4.298406941;0.012966354;1.259371701;1;Temperate;Magellanic_forests;900;6;-72.829986;-50.632546;12
22618;15;4.373014481;0.013604026;1.190239218;1;Temperate;Magellanic_forests;700;11;-72.829986;-50.882546;12
22619;15;4.386660551;0.017206037;1.290018184;1;Temperate;Magellanic_forests;1800;6.5;-72.829986;-51.132546;12
22620;11;3.509116791;0.006742369;1.332127952;0;Arid;Magellanic_forests;120;8;-72.829986;-51.382546;12
22621;8;2.843044391;0.004639646;1.579570309;0;Arid;Magellanic_forests;120;8;-72.829986;-51.632546;12
22622;5;2.164889211;0.002084565;1.813051;1;Arid;Magellanic_forests;120;8;-72.829986;-51.882546;12
22623;5;2.164889211;0.002084565;1.813051;0;Temperate;Magellanic_forests;1800;6.5;-72.829986;-52.132546;12
22624;6;2.459077041;0.002636061;1.69341166;0;Temperate;Magellanic_forests;1800;6.5;-72.829986;-52.382546;12
22625;6;2.65174442;0.004211742;1.701492668;1;Temperate;Magellanic_forests;1800;6.5;-72.829986;-52.632546;12
22626;4;2.21231078;0.003590912;1.210666211;1;Temperate;Magellanic_forests;1800;6.5;-72.829986;-52.882546;12
22627;2;1.65878175;0.002850801;0.398096207;1;Temperate;Magellanic_forests;1800;6.5;-72.829986;-53.132546;12
22628;2;1.65878175;0.002850801;0.398096207;1;Temperate;Magellanic_forests;1800;6.5;-72.829986;-53.382546;12
22629;0;0;0;NA;1;Polar;Magellanic_forests;700;4;-72.829986;-53.632546;12
22630;0;0;0;NA;1;Polar;Magellanic_forests;700;4;-72.829986;-53.882546;12
22631;0;0;0;NA;1;Polar;Magellanic_forests;700;4;-72.829986;-54.132546;12
22710;9;3.010593921;0.00457502;1.778060937;0;Temperate;Valdivian_forests;900;12;-72.579986;-35.382546;7
22711;9;3.010593921;0.00457502;1.778060937;1;Temperate;Valdivian_forests;700;11;-72.579986;-35.632546;7
22712;11;3.582574581;0.005779862;1.675692568;1;Temperate;Valdivian_forests;700;11;-72.579986;-35.882546;7
22713;12;3.665851741;0.006331366;1.703568075;0;Temperate;Valdivian_forests;700;11;-72.579986;-36.132546;16
22714;13;3.819581371;0.006750013;1.641051185;0;Temperate;Chilean_matorral;700;11;-72.579986;-36.382546;16
22715;12;3.352109991;0.006060098;1.692612793;0;Temperate;Chilean_matorral;700;11;-72.579986;-36.632546;8
22716;11;2.857300101;0.004944782;1.701809949;0;Temperate;Chilean_matorral;700;11;-72.579986;-36.882546;8
22717;11;2.857300101;0.004944782;1.701809949;0;Temperate;Chilean_matorral;700;11;-72.579986;-37.132546;8
22718;11;2.857300101;0.004944782;1.701809949;0;Temperate;Chilean_matorral;700;11;-72.579986;-37.382546;8
22719;11;2.857300101;0.004944782;1.701809949;0;Temperate;Chilean_matorral;700;11;-72.579986;-37.632546;9
22720;12;3.292689961;0.005586983;1.719800073;0;Temperate;Chilean_matorral;700;11;-72.579986;-37.882546;9
22721;11;3.075563971;0.00504372;1.643193682;0;Temperate;Chilean_matorral;700;11;-72.579986;-38.132546;9
22722;11;3.075563971;0.00504372;1.643193682;0;Temperate;Chilean_matorral;700;11;-72.579986;-38.382546;9
22723;11;3.075563971;0.00504372;1.643193682;1;Temperate;Chilean_matorral;700;11;-72.579986;-38.632546;9
22724;11;3.075563971;0.00504372;1.643193682;0;Temperate;Chilean_matorral;2100;9.5;-72.579986;-38.882546;9
22725;10;3.075563971;0.004712608;1.630632693;0;Temperate;Chilean_matorral;2100;9.5;-72.579986;-39.132546;9
22726;12;3.660916161;0.006339278;1.592683819;0;Temperate;Chilean_matorral;2100;9.5;-72.579986;-39.382546;14
22727;13;3.712726521;0.007863112;1.565204869;0;Temperate;Valdivian_forests;2100;9.5;-72.579986;-39.632546;14
22728;12;3.629449361;0.007311608;1.539083839;0;Temperate;Valdivian_forests;2100;9.5;-72.579986;-39.882546;14
22729;12;3.629449361;0.007311608;1.539083839;0;Temperate;Valdivian_forests;2100;9.5;-72.579986;-40.132546;14
22730;11;3.548780221;0.006819873;1.489628962;0;Temperate;Valdivian_forests;2100;9;-72.579986;-40.382546;14
22731;11;3.548780221;0.006819873;1.489628962;0;Temperate;Valdivian_forests;2100;9;-72.579986;-40.632546;10
22732;10;3.142249141;0.004591704;1.501562905;0;Temperate;Valdivian_forests;2100;9;-72.579986;-40.882546;10
22733;11;3.183005621;0.005630788;1.46388762;1;Temperate;Valdivian_forests;2100;9;-72.579986;-41.132546;10
22734;9;2.988519511;0.004173058;1.590432738;1;Temperate;Valdivian_forests;2100;9;-72.579986;-41.382546;10
22735;9;2.988519511;0.004173058;1.590432738;1;Temperate;Valdivian_forests;2100;9;-72.579986;-41.632546;10
22736;10;3.029275991;0.005212141;1.539088268;0;Temperate;Valdivian_forests;2100;9;-72.579986;-41.882546;10
22737;10;3.029275991;0.005212141;1.539088268;1;Temperate;Valdivian_forests;2100;9;-72.579986;-42.132546;10
22738;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.579986;-42.382546;10
22739;9;2.988519511;0.004173058;1.590432738;1;Temperate;Valdivian_forests;2100;9;-72.579986;-42.632546;10
22740;9;2.988519511;0.004173058;1.590432738;1;Temperate;Valdivian_forests;2100;9;-72.579986;-42.882546;10
22741;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.579986;-43.132546;10
22742;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.579986;-43.382546;10
22743;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.579986;-43.632546;11
22744;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.579986;-43.882546;11
22745;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.579986;-44.132546;11
22746;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.579986;-44.382546;11
22747;8;2.897977211;0.003661705;1.634404553;1;Temperate;Valdivian_forests;2100;9;-72.579986;-44.632546;11
22748;9;3.051706841;0.004080351;1.533294033;0;Temperate;Valdivian_forests;2100;9;-72.579986;-44.882546;11
22749;9;3.051706841;0.004080351;1.533294033;0;Temperate;Valdivian_forests;2100;9;-72.579986;-45.132546;11
22750;9;3.051706841;0.004080351;1.533294033;1;Temperate;Valdivian_forests;2100;9;-72.579986;-45.382546;11
22751;9;3.169358551;0.006182199;1.427934434;1;Temperate;Valdivian_forests;2100;9;-72.579986;-45.632546;11
22752;9;3.169358551;0.006182199;1.427934434;1;Temperate;Patagonian_Steppe;2100;9;-72.579986;-45.882546;11
22753;11;3.729483121;0.007151599;1.542052892;1;Temperate;Patagonian_Steppe;2100;9;-72.579986;-46.132546;11
22754;10;3.497308831;0.006678598;1.583274774;0;Temperate;Patagonian_Steppe;2100;9;-72.579986;-46.382546;11
22755;10;3.726432561;0.009164499;1.587848727;1;Temperate;Valdivian_forests;2100;9;-72.579986;-46.632546;11
22756;11;3.880162191;0.009583145;1.535713071;1;Temperate;Magellanic_forests;2100;9;-72.579986;-46.882546;11
22757;9;3.549036421;0.008790783;1.615434549;1;Temperate;Magellanic_forests;2100;9;-72.579986;-47.132546;11
22758;12;4.059909834;0.010548989;1.538614171;0;Temperate;Magellanic_forests;2100;9;-72.579986;-47.382546;11
22759;12;4.059909834;0.010548989;1.538614171;0;Temperate;Magellanic_forests;2100;9;-72.579986;-47.632546;11
22760;13;4.278064774;0.01168157;1.464017388;0;Temperate;Magellanic_forests;2100;9;-72.579986;-47.882546;11
22761;14;4.445813754;0.011440636;1.487601954;0;Temperate;Magellanic_forests;2100;9;-72.579986;-48.132546;11
22762;15;4.663968694;0.012573218;1.421568501;0;Temperate;Magellanic_forests;2100;9;-72.579986;-48.382546;11
22763;15;4.663968694;0.012573218;1.421568501;0;Temperate;Magellanic_forests;2100;9;-72.579986;-48.632546;11
