ID;SR;PD.obs;PD.SES;PD.Pvalue;FD.obs;FD.SES;FD.Pvalue;PE.obs;PE.SES;PE.Pvalue;Protegido;Clima;Ecorregion;Climate;Ecoregion;PP_MM;TMED;ALT_MIN;ALT_MAX;long;lat;codregion
22716;11;3.238731822;-0.439557637;0.3615;2.656615717;-0.078759319;0.467;0.004944782;-0.873913118;0.800800801;0;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-36.882546;8
22717;11;3.238731822;-0.461401873;0.35;2.656615717;-0.133291401;0.447;0.004944782;-0.873913118;0.800800801;0;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-37.132546;8
22718;11;3.238731822;-0.449655459;0.3385;2.656615717;-0.039956068;0.474;0.004944782;-0.873913118;0.800800801;0;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-37.382546;8
22719;11;3.238731822;-0.490489045;0.3325;2.656615717;-0.049538742;0.465;0.004944782;-0.873913118;0.800800801;0;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-37.632546;9
22720;12;3.372214472;-0.63074553;0.2965;2.905457354;-0.043549762;0.466;0.005586983;-1.121633893;0.884884885;0;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-37.882546;9
22721;11;3.155088482;-0.673507521;0.277;2.79672333;0.118333458;0.537;0.00504372;-1.136543886;0.896896897;0;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-38.132546;9
22722;11;3.155088482;-0.621572501;0.276;2.79672333;0.097220547;0.524;0.00504372;-1.136543886;0.896896897;0;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-38.382546;9
22723;11;3.155088482;-0.742690255;0.25;2.79672333;0.211755134;0.561;0.00504372;-1.136543886;0.896896897;1;2;3;Templado;Matorral_chileno;700;11;100;1000;-72.579986;-38.632546;9
22724;11;3.155088482;-0.664968757;0.2775;2.79672333;0.147262729;0.5375;0.00504372;-1.136543886;0.896896897;0;2;3;Templado;Matorral_chileno;2100;9.5;200;2000;-72.579986;-38.882546;9
22725;10;3.075563971;-0.413720185;0.3605;2.423991805;-0.186579824;0.418;0.004712608;-0.927076791;0.834834835;0;2;3;Templado;Matorral_chileno;2100;9.5;200;2000;-72.579986;-39.132546;9
22726;12;3.660916161;-0.213681384;0.4205;2.729724858;-0.20172693;0.446;0.006339278;-0.869863058;0.795795796;0;2;3;Templado;Matorral_chileno;2100;9.5;200;2000;-72.579986;-39.382546;14
22727;13;3.712726521;-0.502110697;0.3155;3.102456383;0.167162533;0.547;0.007863112;-0.978802302;0.870870871;0;2;5;Templado;Bosque_Valdiviano;2100;9.5;200;2000;-72.579986;-39.632546;14
22728;12;3.629449361;-0.415559556;0.3425;2.853614745;0.090479666;0.5295;0.007311608;-0.865404943;0.837837838;0;2;5;Templado;Bosque_Valdiviano;2100;9.5;200;2000;-72.579986;-39.882546;14
